Page Visits	Submissions	Comments Received	Comments Given	Journals	Favs
789	37	59	22	0	252
299	2	87	128	0	37
1215	5	107	125	0	18
84689	951	12404	19762	2	31704
702	0	51	2	0	0
1661	8	42	3	0	175
29373	3	1865	2840	2	3761
23729	99	3911	9794	0	1304
984	0	203	306	0	0
479	50	48	60	0	85
101	0	10	11	0	0
1353	43	144	118	3	37
1541	6	306	96	6	8
4789	140	377	428	9	1582		
13074	214	3012	2799	9	2246
545	1	156	179	1	5
1449	0	241	6	0	0
253	2	27	79	4	2
2427	0	701	884	0	286
9608	407	1695	1390	40	5016
18341	153	8220	8920	21	4025
55	0	3	0	0	0
5286	92	1545	2286	25	998
499	5	70	87	0	29
42	0	5	0	0	0
747	0	134	31	0	0
869	0	214	100	28	0
76	5	23	7	1	1
569	12	80	76	0	11
614	2	106	122	0	10
4973	28	297	704	9	580
6103	62	1982	2852	157	101
494	4	94	36	3	9
990	0	148	132	0	0
1294	38	200	184	38	83
3452	11	619	188	3	136
52	0	18	35	0	0
1107	8	166	273	18	6
604	17	361	596	31	11
411	4	71	36	0	22
74	0	12	13	0	0
18693	65	818	1084	43	480
8096	651	1400	961	37	2384
10057	443	1193	1254	0	5005		
1735	11	51	12	3	522
2995	67	604	621	38	222
11164	0	2277	2072	0	0
71	0	2	0	0	0
9371	96	1120	456	17	1861
8089	471	2485	3464	67	3521
120	0	14	9	1	0
4966	142	854	781	19	927
973	84	223	169	8	258
274	16	52	35	6	31
118	0	17	7	0	0
2023	22	180	158	13	332
2790	40	366	330	0	574
898	7	57	31	2	3
5474	87	1751	2124	48	1283
166	1	82	102	0	1
154	0	23	0	0	0
51	0	4	0	0	0
3030	167	434	157	5	3155
980	0	42	3	0	0
537	4	52	19	1	29
133481	570	14784	24027	76	76788
2519	13	371	531	20	57
2930	82	1150	1238	13	401
257	4	37	32	1	6
283	1	127	242	5	2
9748	1	8270	14526	62	15
246	5	49	29	0	12
1966	0	508	27	0	0
1683	55	438	709	13	262
3378	104	987	1404	13	486
4632	186	1378	1585	14	1762
